Figure Number,Setting,Select Measure,Select Measure 2,Response category,Population,Value type,Reporting Period,Select Group,Value,Low 95% CI,High 95% CI,Reliability
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Participants,Number,January 2020-July 2021,US Census Region: South,3307.4,2702,3912,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Participants,Number,January 2020-July 2021,US Census Region: South,416.4,216,617,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Participants,Number,January 2020-July 2021,US Census Region: West,1892.0,1409,2375,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Participants,Number,January 2020-July 2021,US Census Region: West,1472.3,1053,1892,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,8296.5,7350,9243,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2093.1,1622,2564,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,1050.5,800,1301,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,194.7,94,295,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Participants,Number,January 2020-July 2021,US Census Region: Northeast,1760.5,1256,2265,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Participants,Number,January 2020-July 2021,US Census Region: Northeast,1155.4,919,1392,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Participants,Number,January 2020-July 2021,US Census Region: Midwest,716.5,504,929,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Participants,Number,January 2020-July 2021,US Census Region: Midwest,893.8,661,1127,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Participants,Number,January 2020-July 2021,US Census Region: South,1795.9,1241,2351,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Participants,Number,January 2020-July 2021,US Census Region: South,1844.1,1538,2151,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Participants,Number,January 2020-July 2021,US Census Region: West,1651.7,1253,2051,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Participants,Number,January 2020-July 2021,US Census Region: West,1745.4,1243,2248,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,5356.1,4495,6217,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,4973.9,4336,5611,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,568.5,410,727,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,664.8,441,888,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Participants,Number,January 2020-July 2021,US Census Region: Northeast,1608.1,1213,2003,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Participants,Number,January 2020-July 2021,US Census Region: Northeast,1286.4,910,1662,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Participants,Number,January 2020-July 2021,US Census Region: Midwest,489.5,337,642,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Participants,Number,January 2020-July 2021,US Census Region: Midwest,1104.4,834,1375,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Participants,Number,January 2020-July 2021,US Census Region: South,2411.6,1824,2999,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Participants,Number,January 2020-July 2021,US Census Region: South,1304.8,1055,1554,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Participants,Number,January 2020-July 2021,US Census Region: West,1642.8,1230,2056,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Participants,Number,January 2020-July 2021,US Census Region: West,1781.2,1289,2274,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,5586.0,4767,6405,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,4834.9,4148,5522,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,566.1,409,723,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,641.9,423,861,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Participants,Number,January 2020-July 2021,US Census Region: Northeast,1143.6,794,1493,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Participants,Number,January 2020-July 2021,US Census Region: Northeast,1487.0,1061,1913,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Participants,Number,January 2020-July 2021,US Census Region: Midwest,697.6,516,879,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Participants,Number,January 2020-July 2021,US Census Region: Midwest,658.7,418,899,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Participants,Number,January 2020-July 2021,US Census Region: South,2187.2,1603,2771,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Participants,Number,January 2020-July 2021,US Census Region: South,1278.3,1032,1525,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Participants,Number,January 2020-July 2021,US Census Region: West,1546.5,1058,2035,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Participants,Number,January 2020-July 2021,US Census Region: West,1669.2,1258,2080,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,4994.3,4152,5836,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,4482.0,3833,5131,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,580.6,420,741,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Participants,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,611.1,391,832,
2,Adult Day Services Center,COVID-19 Cases,n/a,Number,Staff,Number,January 2020-July 2021,Total,5790.4,5338,6243,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,Total,964.9,818,1112,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,Total,1326.8,1092,1562,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,Total,3498.7,3111,3886,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,Total,3880.8,3538,4224,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,Total,1870.4,1553,2188,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,Total,2724.6,2386,3063,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,Total,3011.1,2677,3345,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,Total,2675.6,2340,3011,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,Total,3047.1,2713,3381,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,Total,2672.6,2336,3009,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,Total,2585.3,2260,2910,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: Northeast,143.1,98,188,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: Northeast,176.6,127,226,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: Northeast,711.2,504,919,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: Midwest,206.4,155,258,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: Midwest,300.0,201,399,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: Midwest,370.2,274,466,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: South,349.1,240,458,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: South,389.5,303,476,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: South,952.3,785,1120,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,US Census Region: West,266.3,196,337,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,US Census Region: West,460.8,272,649,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,US Census Region: West,1464.9,1201,1729,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,770.2,630,910,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,1025.1,814,1237,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,3268.9,2890,3648,
2,Adult Day Services Center,COVID-19 Cases,Size,Small,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,194.7,147,242,
2,Adult Day Services Center,COVID-19 Cases,Size,Medium,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,301.8,199,405,
2,Adult Day Services Center,COVID-19 Cases,Size,Large,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,229.8,149,310,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: Northeast,832.9,653,1012,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: Northeast,195.9,80,312,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: Midwest,761.4,626,897,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: Midwest,113.6,70,158,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: South,1402.4,1224,1581,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: South,288.5,176,401,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,US Census Region: West,884.0,696,1072,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,US Census Region: West,1272.3,1002,1542,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,3287.7,2968,3608,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,1738.8,1425,2052,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,593.1,470,716,
2,Adult Day Services Center,COVID-19 Cases,Medicaid,Not certified,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,131.6,79,185,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: Northeast,565.6,390,741,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: Northeast,458.6,329,589,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: Midwest,300.4,224,377,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: Midwest,560.7,439,682,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: South,717.2,549,886,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: South,968.6,831,1106,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,US Census Region: West,1141.4,919,1364,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,US Census Region: West,1023.2,776,1270,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2408.6,2081,2737,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2616.6,2300,2933,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Chain,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,315.9,233,399,
2,Adult Day Services Center,COVID-19 Cases,Chain status,Non-chain,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,394.5,287,502,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,US Census Region: Northeast,420.1,294,546,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,US Census Region: Northeast,610.8,434,788,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,US Census Region: Midwest,262.9,191,335,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,US Census Region: Midwest,588.1,464,712,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,US Census Region: South,962.2,788,1136,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,US Census Region: South,699.0,575,823,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,US Census Region: West,1030.4,783,1278,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,US Census Region: West,1149.2,927,1372,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2340.6,2017,2664,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2690.0,2371,3009,
2,Adult Day Services Center,COVID-19 Cases,Ownership,For profit,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,335.0,248,422,
2,Adult Day Services Center,COVID-19 Cases,Ownership,Nonprofit,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Non-metropolitan,357.1,256,458,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,US Census Region: Northeast,491.2,309,673,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,US Census Region: Northeast,438.9,324,554,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,US Census Region: Midwest,357.1,281,433,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,US Census Region: Midwest,373.3,261,486,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,US Census Region: South,871.3,713,1030,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,US Census Region: South,683.4,542,825,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,US Census Region: West,953.0,731,1175,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,US Census Region: West,1089.7,845,1334,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,Yes,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2300.7,1975,2626,
2,Adult Day Services Center,COVID-19 Cases,Any PPE shortage,No,Staff,Number,January 2020-July 2021,Metropolitan Statistical Area: Metropolitan,2271.9,1964,2580,
